date,open,high,low,close,volume,Name,vo_spike,VO_upperline,VO_lowerline,MS_YS1,MS_RK3,MS_RK4,MS_RK5,MS_RK6,MS_UP,MS_DOWN,MS_Oo,MS_CC,MS_COLOR
2017-06-02,63.88,64.68,63.7,64.57,7840374,SBUX,0.69,0.430748636,-0.430748636,64.38,62.84705526,0.470487115,651.6415404,348.512525,187.2078229,-59.26855988,-59.26855988,187.2078229,GREEN
2017-06-05,64.85,64.87,64.18,64.27,6809284,SBUX,-0.58,0.435528389,-0.435528389,64.3975,63.12053684,0.531326759,480.6696212,441.3700782,239.2243912,-3.623807066,-3.623807066,239.2243912,GREEN
2017-06-06,64.22,64.35,64.05,64.16,5448439,SBUX,-0.06,0.435740584,-0.435740584,64.18,63.54035789,0.423162941,302.3148033,511.4605656,275.6537691,59.98673625,59.98673625,275.6537691,GREEN
